OriginAirportCode	DestinationAirportCode	FlightDate	FinalScore	Total Dollar	Total Points	IsDomesticRoute	LastDayOfFare	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
JFK	ANU	12/31/17 11:08	506.22	256.2	5205.6	0	3/20/18 7:50	0	1	0	1	0	0	1
JFK	ANU	1/4/18 9:30	520.41	231.2	5205.6	0	3/20/18 7:50	0	1	0	1	0	0	1
JFK	ANU	1/4/18 9:30	520.41	231.2	5205.6	0	3/20/18 7:50	0	1	0	1	0	0	1
JFK	ANU	1/4/18 9:30	527.91	229.2	5205.6	0	3/20/18 7:50	0	1	0	1	0	0	1
JFK	ANU	1/4/18 9:30	527.91	229.2	5205.6	0	3/20/18 7:50	0	1	0	1	0	0	1
JFK	ANU	1/4/18 9:30	617.9	211.2	5205.6	0	3/20/18 7:50	0	1	0	1	0	0	1
JFK	ANU	1/4/18 9:30	617.9	211.2	5205.6	0	3/20/18 7:50	0	1	0	1	0	0	1
BOS	ATL	12/6/17 13:55	495.48	97.95	5205.6	1	3/27/18 13:30	1	1	1	1	1	1	1
BOS	ATL	12/6/17 13:55	495.48	97.95	5205.6	1	3/27/18 13:30	1	1	1	1	1	1	1
BOS	ATL	12/6/17 13:55	616.82	82.96	5205.6	1	3/27/18 13:30	1	1	1	1	1	1	1
BOS	ATL	12/6/17 13:55	616.82	82.96	5205.6	1	3/27/18 13:30	1	1	1	1	1	1	1
BOS	ATL	12/6/17 13:55	668.88	77.61	5205.6	1	3/27/18 13:30	1	1	1	1	1	1	1
BOS	ATL	12/6/17 13:55	668.88	77.61	5205.6	1	3/27/18 13:30	1	1	1	1	1	1	1
BOS	ATL	12/6/17 13:55	703.5	70.12	5205.6	1	2/14/18 8:57	1	1	1	1	1	1	1
BOS	ATL	12/6/17 13:55	703.5	70.12	5205.6	1	2/14/18 8:57	1	1	1	1	1	1	1
BOS	ATL	12/6/17 13:55	751.48	64.77	5205.6	1	2/14/18 8:57	1	1	1	1	1	1	1
BOS	ATL	12/6/17 13:55	751.48	64.77	5205.6	1	2/14/18 8:57	1	1	1	1	1	1	1
FLL	AUA	1/27/18 11:08	31.46	116.2	5205.6	0	1/27/18 11:08	1	1	1	1	1	1	1
FLL	AUA	1/27/18 11:08	31.46	116.2	5205.6	0	1/27/18 11:08	1	1	1	1	1	1	1
FLL	AUA	1/27/18 11:08	122.06	119.2	5205.6	0	3/27/18 11:03	0	1	0	0	0	0	0
FLL	AUA	1/27/18 11:08	122.06	119.2	5205.6	0	3/27/18 11:03	0	1	0	0	0	0	0
FLL	AUA	12/9/17 11:20	222.49	184.2	5205.6	0	3/28/18 11:03	1	1	1	1	1	1	1
FLL	AUA	12/9/17 11:20	222.49	184.2	5205.6	0	3/28/18 11:03	1	1	1	1	1	1	1
FLL	AUA	12/9/17 11:20	401.2	154.2	5205.6	0	3/27/18 11:03	1	1	0	1	1	1	1
FLL	AUA	12/9/17 11:20	401.2	154.2	5205.6	0	3/27/18 11:03	1	1	0	1	1	1	1
FLL	AUA	1/1/18 11:20	435.2	134.2	5205.6	0	3/27/18 11:03	1	1	0	0	1	0	1
FLL	AUA	1/1/18 11:20	435.2	134.2	5205.6	0	3/27/18 11:03	1	1	0	0	1	0	1
JFK	AUA	12/13/17 7:56	457.01	316.2	5205.6	0	3/27/18 7:51	1	1	1	1	1	1	1
JFK	AUA	12/13/17 7:56	457.01	316.2	5205.6	0	3/27/18 7:51	1	1	1	1	1	1	1
JFK	AUA	12/13/17 7:56	495.48	311.2	5205.6	0	3/27/18 7:51	1	1	1	1	1	1	1
JFK	AUA	12/13/17 7:56	495.48	311.2	5205.6	0	3/27/18 7:51	1	1	1	1	1	1	1
JFK	AUA	12/13/17 7:56	547.51	289.2	5205.6	0	3/27/18 7:51	1	1	1	1	1	1	1
JFK	AUA	12/13/17 7:56	547.51	289.2	5205.6	0	3/27/18 7:51	1	1	1	1	1	1	1
BOS	AUA	12/13/17 7:07	670.68	346.2	5205.6	0	3/28/18 10:57	1	1	1	1	1	1	1
BOS	AUA	12/13/17 7:07	670.68	346.2	5205.6	0	3/28/18 10:57	1	1	1	1	1	1	1
BOS	AUA	12/13/17 7:07	671.33	335.2	5205.6	0	3/28/18 10:57	1	1	1	1	1	1	1
BOS	AUA	12/30/17 11:10	671.33	335.2	5205.6	0	3/28/18 10:57	1	1	1	1	0	1	1
JFK	AUA	12/13/17 7:56	695.16	254.2	5205.6	0	3/27/18 7:51	1	1	1	1	1	1	1
JFK	AUA	12/13/17 7:56	695.16	254.2	5205.6	0	3/27/18 7:51	1	1	1	1	1	1	1
BOS	AUA	12/30/17 11:10	696.41	326.2	5205.6	0	3/28/18 10:57	1	1	1	1	0	1	1
BOS	AUA	12/30/17 11:10	696.41	326.2	5205.6	0	3/28/18 10:57	1	1	1	1	0	1	1
JFK	AUA	12/13/17 7:56	726.07	214.2	5205.6	0	3/27/18 7:51	1	1	1	1	1	1	1
JFK	AUA	12/13/17 7:56	726.07	214.2	5205.6	0	3/27/18 7:51	1	1	1	1	1	1	1
BOS	AUA	12/30/17 11:10	748.88	306.2	5205.6	0	3/28/18 10:57	1	1	1	1	0	0	1
BOS	AUA	12/30/17 11:10	748.88	306.2	5205.6	0	3/28/18 10:57	1	1	1	1	0	0	1
BOS	AUA	12/31/17 6:15	906.18	236.2	5205.6	0	3/28/18 10:57	1	1	1	1	0	0	1
BOS	AUA	12/31/17 6:15	906.18	236.2	5205.6	0	3/28/18 10:57	1	1	1	1	0	0	1
LGB	AUS	12/13/17 12:17	654.88	110.77	5205.6	1	3/7/18 12:15	0	1	1	0	0	1	0
LGB	AUS	12/13/17 12:17	654.88	110.77	5205.6	1	3/7/18 12:15	0	1	1	0	0	1	0
FLL	AUS	12/14/17 15:55	695.94	107.56	5205.6	1	3/28/18 16:08	0	1	1	1	1	1	0
FLL	AUS	12/14/17 15:55	695.94	107.56	5205.6	1	3/28/18 16:08	0	1	1	1	1	1	0
FLL	AUS	12/14/17 15:55	699.72	106.49	5205.6	1	3/28/18 16:08	0	1	1	1	1	1	0
FLL	AUS	12/16/17 15:55	699.72	106.49	5205.6	1	3/28/18 16:08	0	1	1	1	1	1	0
JFK	AUS	1/9/18 9:45	704.8	118.26	5205.6	1	2/14/18 21:05	1	1	1	1	0	1	0
JFK	AUS	1/9/18 9:45	704.8	118.26	5205.6	1	2/14/18 21:05	1	1	1	1	0	1	0
BOS	AUS	1/8/18 7:00	707.92	112.91	5205.6	1	1/31/18 7:00	1	1	1	0	0	0	0
BOS	AUS	1/8/18 7:00	707.92	112.91	5205.6	1	1/31/18 7:00	1	1	1	0	0	0	0
MCO	AUS	12/6/17 19:59	722.29	128.96	5205.6	1	2/28/18 13:43	1	1	1	1	1	1	1
MCO	AUS	12/6/17 19:59	722.29	128.96	5205.6	1	2/28/18 13:43	1	1	1	1	1	1	1
MCO	AUS	12/6/17 19:59	725.01	136.45	5205.6	1	2/28/18 13:43	1	1	1	1	1	1	1
MCO	AUS	12/6/17 19:59	725.01	136.45	5205.6	1	2/28/18 13:43	1	1	1	1	1	1	1
LGB	AUS	12/13/17 12:17	732.95	140.73	5205.6	1	3/28/18 12:15	1	1	1	1	1	1	1
LGB	AUS	12/13/17 12:17	732.95	140.73	5205.6	1	3/28/18 12:15	1	1	1	1	1	1	1
FLL	AUS	12/16/17 15:55	747.91	96.85	5205.6	1	3/28/18 16:08	0	1	1	1	1	1	0
FLL	AUS	12/16/17 15:55	747.91	96.85	5205.6	1	3/28/18 16:08	0	1	1	1	1	1	0
MCO	AUS	12/13/17 19:59	748.69	101.14	5205.6	1	2/28/18 13:43	0	1	1	1	1	0	0
MCO	AUS	12/13/17 19:59	748.69	101.14	5205.6	1	2/28/18 13:43	0	1	1	1	1	0	0
LGB	AUS	12/6/17 12:17	749.45	161.05	5205.6	1	3/28/18 12:15	1	1	1	1	1	1	1
LGB	AUS	12/6/17 12:17	749.45	161.05	5205.6	1	3/28/18 12:15	1	1	1	1	1	1	1
MCO	AUS	12/13/17 19:59	765.55	118.26	5205.6	1	2/28/18 13:43	0	1	1	1	1	1	1
MCO	AUS	12/13/17 19:59	765.55	118.26	5205.6	1	2/28/18 13:43	0	1	1	1	1	1	1
FLL	AUS	1/10/18 15:56	765.55	93.66	5205.6	1	3/28/18 16:08	0	1	1	1	1	1	0
FLL	AUS	1/10/18 15:56	765.55	93.66	5205.6	1	3/28/18 16:08	0	1	1	1	1	1	0
BOS	AUS	12/6/17 7:06	769.02	182.45	5205.6	1	3/28/18 7:19	1	1	1	1	0	1	1
BOS	AUS	12/6/17 7:06	769.02	182.45	5205.6	1	3/28/18 7:19	1	1	1	1	0	1	1
FLL	AUS	1/10/18 15:56	779.31	90.45	5205.6	1	3/28/18 16:08	0	1	1	1	1	0	0
FLL	AUS	1/10/18 15:56	779.31	90.45	5205.6	1	3/28/18 16:08	0	1	1	1	1	0	0
BOS	AUS	12/13/17 7:06	789.28	176.03	5205.6	1	3/28/18 7:19	1	1	1	1	0	1	1
BOS	AUS	12/13/17 7:06	789.28	176.03	5205.6	1	3/28/18 7:19	1	1	1	1	0	1	1
MCO	AUS	12/13/17 19:59	799.15	109.7	5205.6	1	2/28/18 13:43	0	1	1	1	1	1	1
MCO	AUS	12/13/17 19:59	799.15	109.7	5205.6	1	2/28/18 13:43	0	1	1	1	1	1	1
JFK	AUS	12/13/17 21:13	804.66	145.02	5205.6	1	3/27/18 8:40	1	1	1	1	1	1	1
JFK	AUS	12/13/17 21:13	804.66	145.02	5205.6	1	3/27/18 8:40	1	1	1	1	1	1	1
BOS	AUS	12/13/17 7:06	812.63	128.96	5205.6	1	3/7/18 7:19	1	1	1	0	0	1	0
BOS	AUS	12/13/17 7:06	812.63	128.96	5205.6	1	3/7/18 7:19	1	1	1	0	0	1	0
LGB	AUS	12/13/17 12:17	839.47	118.26	5205.6	1	3/28/18 12:15	1	1	1	1	1	1	1
LGB	AUS	12/13/17 12:17	839.47	118.26	5205.6	1	3/28/18 12:15	1	1	1	1	1	1	1
JFK	AUS	12/6/17 21:13	842.26	161.05	5205.6	1	3/27/18 8:40	1	1	1	1	1	1	1
JFK	AUS	12/6/17 21:13	842.26	161.05	5205.6	1	3/27/18 8:40	1	1	1	1	1	1	1
BOS	AUS	12/13/17 7:06	844.86	139.66	5205.6	1	3/28/18 7:19	1	1	1	1	0	1	1
BOS	AUS	12/13/17 7:06	844.86	139.66	5205.6	1	3/28/18 7:19	1	1	1	1	0	1	1
JFK	AUS	12/13/17 21:13	848.19	141.8	5205.6	1	3/7/18 8:40	1	1	1	1	1	1	1
JFK	AUS	12/13/17 21:13	848.19	141.8	5205.6	1	3/7/18 8:40	1	1	1	1	1	1	1
LGB	AUS	12/13/17 12:17	851.13	113.98	5205.6	1	3/28/18 12:15	1	1	1	1	0	1	0
LGB	AUS	12/13/17 12:17	851.13	113.98	5205.6	1	3/28/18 12:15	1	1	1	1	0	1	0
JFK	AUS	1/6/18 21:05	897.49	139.66	5205.6	1	2/14/18 21:05	1	1	1	1	1	1	1
JFK	AUS	1/6/18 21:05	897.49	139.66	5205.6	1	2/14/18 21:05	1	1	1	1	1	1	1
JFK	BDA	12/6/17 19:03	232.44	186.2	5205.6	0	3/28/18 19:12	1	1	1	1	1	1	1
JFK	BDA	12/6/17 19:03	232.44	186.2	5205.6	0	3/28/18 19:12	1	1	1	1	1	1	1
BOS	BDA	12/6/17 11:00	374.76	200.2	5205.6	0	3/28/18 11:05	1	1	1	1	1	1	1
BOS	BDA	12/6/17 11:00	374.76	200.2	5205.6	0	3/28/18 11:05	1	1	1	1	1	1	1
JFK	BDA	12/6/17 19:03	411.75	156.2	5205.6	0	3/28/18 19:12	1	1	1	1	1	1	1
JFK	BDA	12/6/17 19:03	411.75	156.2	5205.6	0	3/28/18 19:12	1	1	1	1	1	1	1
BOS	BDA	12/6/17 11:00	480.19	186.2	5205.6	0	3/28/18 11:05	1	1	1	1	1	1	1
BOS	BDA	12/6/17 11:00	480.19	186.2	5205.6	0	3/28/18 11:05	1	1	1	1	1	1	1
JFK	BDA	12/6/17 19:03	556.6	121.2	5205.6	0	3/28/18 19:12	1	1	1	1	1	1	1
JFK	BDA	12/6/17 19:03	556.6	121.2	5205.6	0	3/28/18 19:12	1	1	1	1	1	1	1
JFK	BDA	12/6/17 19:03	593.06	126.2	5205.6	0	3/28/18 19:12	1	1	1	1	1	1	1
JFK	BDA	12/6/17 19:03	593.06	126.2	5205.6	0	3/28/18 19:12	1	1	1	1	1	1	1
JFK	BDA	1/6/18 18:47	676.32	106.2	5205.6	0	3/28/18 19:12	1	1	1	1	1	1	1
JFK	BDA	1/6/18 18:47	676.32	106.2	5205.6	0	3/28/18 19:12	1	1	1	1	1	1	1
BOS	BDA	12/6/17 11:00	696.6	160.2	5205.6	0	3/28/18 11:05	1	1	1	1	1	1	1
BOS	BDA	12/6/17 11:00	696.6	160.2	5205.6	0	3/28/18 11:05	1	1	1	1	1	1	1
BOS	BDA	12/6/17 11:00	705.09	121.2	5205.6	0	2/14/18 10:07	1	1	1	1	0	1	0
BOS	BDA	12/6/17 11:00	705.09	121.2	5205.6	0	2/14/18 10:07	1	1	1	1	0	1	0
BOS	BDA	12/6/17 11:00	930.41	126.2	5205.6	0	3/28/18 11:05	1	1	1	1	1	1	1
BOS	BDA	12/6/17 11:00	930.41	126.2	5205.6	0	3/28/18 11:05	1	1	1	1	1	1	1
PBI	BDL	12/25/17 11:35	86.21	118.26	5205.6	1	1/12/18 11:15	1	1	1	1	1	1	1
PBI	BDL	12/25/17 11:35	86.21	118.26	5205.6	1	1/12/18 11:15	1	1	1	1	1	1	1
SJU	BDL	12/13/17 13:33	103.61	257.2	5205.6	1	3/28/18 13:20	1	1	1	1	1	1	1
SJU	BDL	12/13/17 13:33	103.61	257.2	5205.6	1	3/28/18 13:20	1	1	1	1	1	1	1
SJU	BDL	12/25/17 13:35	205.32	232.2	5205.6	1	3/28/18 13:20	1	1	1	1	1	1	1
SJU	BDL	12/25/17 13:35	205.32	232.2	5205.6	1	3/28/18 13:20	1	1	1	1	1	1	1
SJU	BDL	12/28/17 4:00	210.52	225.2	5205.6	1	2/14/18 13:31	1	1	1	1	1	1	0
SJU	BDL	12/28/17 4:00	210.52	225.2	5205.6	1	2/14/18 13:31	1	1	1	1	1	1	0
SJU	BDL	1/11/18 13:31	238.48	205.2	5205.6	1	2/14/18 13:31	1	1	1	1	0	1	0
SJU	BDL	1/11/18 13:31	238.48	205.2	5205.6	1	2/14/18 13:31	1	1	1	1	0	1	0
PBI	BDL	12/25/17 11:35	245.58	134.31	5205.6	1	2/15/18 11:48	0	0	0	1	0	0	0
PBI	BDL	12/25/17 11:35	245.58	134.31	5205.6	1	2/15/18 11:48	0	0	0	1	0	0	0
SJU	BDL	12/28/17 4:00	294.36	211.2	5205.6	1	2/14/18 13:31	1	1	1	1	1	1	0
SJU	BDL	12/28/17 4:00	294.36	211.2	5205.6	1	2/14/18 13:31	1	1	1	1	1	1	0
DCA	BDL	12/6/17 7:25	495.7	96.85	5205.6	1	3/12/18 7:25	1	1	1	1	1	1	1
DCA	BDL	12/6/17 7:25	495.7	96.85	5205.6	1	3/12/18 7:25	1	1	1	1	1	1	1
DCA	BDL	12/6/17 7:25	545.19	90.45	5205.6	1	3/12/18 7:25	1	1	1	1	1	1	1
DCA	BDL	12/6/17 7:25	545.19	90.45	5205.6	1	3/12/18 7:25	1	1	1	1	1	1	1
MCO	BDL	12/6/17 10:15	603.92	102.21	5205.6	1	2/14/18 10:30	0	1	1	1	0	0	0
MCO	BDL	12/6/17 10:15	603.92	102.21	5205.6	1	2/14/18 10:30	0	1	1	1	0	0	0
PBI	BDL	12/6/17 11:35	616.32	150.35	5205.6	1	2/16/18 11:48	0	0	1	1	1	0	0
PBI	BDL	12/6/17 11:35	616.32	150.35	5205.6	1	2/16/18 11:48	0	0	1	1	1	0	0
PBI	BDL	12/6/17 11:35	630.48	145.02	5205.6	1	2/15/18 11:48	0	0	1	1	0	0	0
PBI	BDL	12/6/17 11:35	630.48	145.02	5205.6	1	2/15/18 11:48	0	0	1	1	0	0	0
MCO	BDL	12/6/17 10:15	660.76	134.31	5205.6	1	3/28/18 10:41	1	1	1	1	1	1	0
MCO	BDL	12/6/17 10:15	660.76	134.31	5205.6	1	3/28/18 10:41	1	1	1	1	1	1	0
MCO	BDL	12/6/17 10:15	676.51	131.1	5205.6	1	3/28/18 10:41	1	1	1	1	1	1	0
MCO	BDL	12/6/17 10:15	676.51	131.1	5205.6	1	3/28/18 10:41	1	1	1	1	1	1	0
TPA	BDL	12/16/17 18:20	676.51	134.31	5205.6	1	3/23/18 17:46	1	1	1	1	1	1	0
TPA	BDL	12/16/17 18:20	676.51	134.31	5205.6	1	3/23/18 17:46	1	1	1	1	1	1	0
DCA	BDL	12/13/17 7:25	684.32	54.07	5205.6	1	2/14/18 7:25	0	1	1	0	0	0	0
DCA	BDL	12/13/17 7:25	684.32	54.07	5205.6	1	2/14/18 7:25	0	1	1	0	0	0	0
TPA	BDL	1/5/18 17:48	686.63	100.07	5205.6	1	3/7/18 17:46	0	1	1	1	1	0	0
TPA	BDL	1/5/18 17:48	686.63	100.07	5205.6	1	3/7/18 17:46	0	1	1	1	1	0	0
TPA	BDL	1/5/18 17:48	689.41	118.26	5205.6	1	3/7/18 17:46	1	1	1	1	1	1	0
FLL	BDL	12/6/17 7:00	692.99	134.31	5205.6	1	3/13/18 7:08	1	1	1	1	1	1	1
FLL	BDL	12/6/17 7:00	692.99	134.31	5205.6	1	3/13/18 7:08	1	1	1	1	1	1	1
FLL	BDL	12/6/17 7:00	699.72	123.61	5205.6	1	3/13/18 7:08	1	1	1	1	1	1	1
FLL	BDL	12/6/17 7:00	699.72	123.61	5205.6	1	3/13/18 7:08	1	1	1	1	1	1	1
DCA	BDL	12/6/17 7:25	700.48	80.82	5205.6	1	2/14/18 7:25	1	1	1	1	1	1	1
DCA	BDL	12/6/17 7:25	700.48	80.82	5205.6	1	2/14/18 7:25	1	1	1	1	1	1	1
TPA	BDL	1/5/18 17:48	708.9	92.59	5205.6	1	3/7/18 17:46	0	1	1	1	1	0	0
TPA	BDL	1/5/18 17:48	708.9	92.59	5205.6	1	3/7/18 17:46	0	1	1	1	1	0	0
RSW	BDL	12/6/17 14:40	709.52	108.63	5205.6	1	2/16/18 13:37	1	1	1	1	1	0	0
RSW	BDL	12/6/17 14:40	709.52	108.63	5205.6	1	2/16/18 13:37	1	1	1	1	1	0	0
RSW	BDL	12/6/17 14:40	711.04	107.56	5205.6	1	2/16/18 13:37	0	1	1	1	1	0	0
RSW	BDL	12/6/17 14:40	711.04	107.56	5205.6	1	2/16/18 13:37	0	1	1	1	1	0	0
TPA	BDL	12/24/17 18:20	722.4	119.33	5205.6	1	3/22/18 17:46	1	1	1	1	1	1	0
TPA	BDL	12/24/17 18:20	722.4	119.33	5205.6	1	3/22/18 17:46	1	1	1	1	1	1	0
TPA	BDL	12/24/17 18:20	725.7	118.26	5205.6	1	3/22/18 17:46	1	1	1	1	1	1	0
MCO	BDL	12/6/17 10:15	751.48	112.91	5205.6	1	3/28/18 10:41	1	1	1	1	1	0	0
MCO	BDL	12/6/17 10:15	751.48	112.91	5205.6	1	3/28/18 10:41	1	1	1	1	1	0	0
RSW	BDL	12/24/17 15:30	763.3	102.21	5205.6	1	2/16/18 13:37	0	1	1	1	1	0	0
RSW	BDL	12/24/17 15:30	763.3	102.21	5205.6	1	2/16/18 13:37	0	1	1	1	1	0	0
PBI	BDL	12/6/17 11:35	764.5	171.75	5205.6	1	3/15/18 11:52	1	0	1	1	1	1	0
PBI	BDL	12/6/17 11:35	764.5	171.75	5205.6	1	3/15/18 11:52	1	0	1	1	1	1	0
RSW	BDL	11/30/17 14:40	768.71	161.05	5205.6	1	2/16/18 13:37	1	1	1	1	1	1	0
RSW	BDL	11/30/17 14:40	768.71	161.05	5205.6	1	2/16/18 13:37	1	1	1	1	1	1	0
FLL	BDL	12/6/17 7:00	782.67	109.7	5205.6	1	3/13/18 7:08	1	1	1	1	1	1	1
FLL	BDL	12/6/17 7:00	782.67	109.7	5205.6	1	3/13/18 7:08	1	1	1	1	1	1	1
FLL	BDL	12/6/17 7:00	787.45	91.52	5205.6	1	2/14/18 7:00	0	1	1	1	0	1	0
FLL	BDL	12/6/17 7:00	787.45	91.52	5205.6	1	2/14/18 7:00	0	1	1	1	0	1	0
MCO	BDL	12/6/17 10:15	794.64	110.77	5205.6	1	3/28/18 10:41	1	1	1	1	1	0	0
MCO	BDL	12/6/17 10:15	794.64	110.77	5205.6	1	3/28/18 10:41	1	1	1	1	1	0	0
RSW	BDL	11/30/17 14:40	819.94	165.33	5205.6	1	2/16/18 13:37	1	1	1	1	1	1	1
RSW	BDL	11/30/17 14:40	819.94	165.33	5205.6	1	2/16/18 13:37	1	1	1	1	1	1	1
DCA	BDL	12/6/17 7:25	821.41	64.77	5205.6	1	2/14/18 7:25	1	1	1	1	1	1	1
DCA	BDL	12/6/17 7:25	821.41	64.77	5205.6	1	2/14/18 7:25	1	1	1	1	1	1	1
FLL	BDL	12/6/17 7:00	888.58	96.85	5205.6	1	3/13/18 7:08	1	1	1	1	1	1	1
FLL	BDL	12/6/17 7:00	888.58	96.85	5205.6	1	3/13/18 7:08	1	1	1	1	1	1	1
BOS	BGI	3/25/18 8:18	-38.05	161.2	5205.6	0	3/25/18 8:18	1	1	1	1	1	1	1
BOS	BGI	3/25/18 8:18	-38.05	161.2	5205.6	0	3/25/18 8:18	1	1	1	1	1	1	1
EWR	BGI	12/2/17 10:05	3.72	309.2	5205.6	0	3/24/18 9:42	0	0	0	0	0	1	0
EWR	BGI	12/2/17 10:05	3.72	309.2	5205.6	0	3/24/18 9:42	0	0	0	0	0	1	0
EWR	BGI	12/2/17 10:05	9.54	269.2	5205.6	0	3/10/18 9:42	0	0	0	0	0	1	0
EWR	BGI	12/2/17 10:05	9.54	269.2	5205.6	0	3/10/18 9:42	0	0	0	0	0	1	0
EWR	BGI	12/9/17 10:05	14.01	229.2	5205.6	0	3/10/18 9:42	0	0	0	0	0	1	0
EWR	BGI	12/9/17 10:05	14.01	229.2	5205.6	0	3/10/18 9:42	0	0	0	0	0	1	0
EWR	BGI	12/9/17 10:05	15.96	194.2	5205.6	0	12/9/17 10:05	1	1	1	1	1	1	1
EWR	BGI	12/9/17 10:05	15.96	194.2	5205.6	0	12/9/17 10:05	1	1	1	1	1	1	1
JFK	BGI	12/4/17 8:22	49.5	264.2	5205.6	0	3/28/18 8:00	1	1	1	1	1	1	1
JFK	BGI	12/4/17 8:22	49.5	264.2	5205.6	0	3/28/18 8:00	1	1	1	1	1	1	1
JFK	BGI	12/11/17 8:22	149.41	228.2	5205.6	0	3/28/18 8:00	1	1	1	1	1	1	1
JFK	BGI	12/11/17 8:22	149.41	228.2	5205.6	0	3/27/18 23:59	1	1	1	1	1	1	1
JFK	BGI	12/11/17 8:22	161.11	229.2	5205.6	0	3/28/18 8:00	1	1	1	1	1	1	1
JFK	BGI	12/11/17 8:22	168.12	229.2	5205.6	0	3/28/18 8:00	1	1	1	1	1	1	1
BOS	BGI	12/30/17 7:40	179.79	206.2	5205.6	0	3/25/18 8:18	0	0	0	0	0	0	1
BOS	BGI	12/30/17 7:40	179.79	206.2	5205.6	0	3/25/18 8:18	0	0	0	0	0	0	1
FLL	BGI	1/12/18 14:10	224.13	169.2	5205.6	0	3/28/18 13:27	1	1	1	1	1	1	1
